Agent DT2 issued deposit	 of $506.00	at:09/15/2024 22:21:57 EDT	Transaction Number : 1
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 256
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 283
Agent WT4 issued withdrawal	 of $93.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 310
Agent WT2 issued withdrawal	 of $97.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 314
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:37:06 EDT	Transaction Number : 316
Agent DT4 issued deposit	 of $518.00	at:09/15/2024 23:37:07 EDT	Transaction Number : 326
Agent DT2 issued deposit	 of $589.00	at:09/15/2024 23:37:07 EDT	Transaction Number : 333
Agent DT5 issued deposit	 of $460.00	at:09/15/2024 23:37:07 EDT	Transaction Number : 336
Agent WT8 issued withdrawal	 of $92.00	at:09/15/2024 23:37:07 EDT	Transaction Number : 348
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:37:07 EDT	Transaction Number : 353
Agent WT4 issued withdrawal	 of $95.00	at:09/15/2024 23:37:07 EDT	Transaction Number : 357
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:37:07 EDT	Transaction Number : 359
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:37:07 EDT	Transaction Number : 361
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:37:07 EDT	Transaction Number : 367
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:37:08 EDT	Transaction Number : 395
Agent DT4 issued deposit	 of $563.00	at:09/15/2024 23:37:08 EDT	Transaction Number : 399
Agent DT2 issued deposit	 of $580.00	at:09/15/2024 23:37:08 EDT	Transaction Number : 400
Agent DT5 issued deposit	 of $592.00	at:09/15/2024 23:37:09 EDT	Transaction Number : 408
Agent DT4 issued deposit	 of $462.00	at:09/15/2024 23:37:09 EDT	Transaction Number : 409
Agent DT2 issued deposit	 of $561.00	at:09/15/2024 23:37:09 EDT	Transaction Number : 410
Agent DT3 issued deposit	 of $494.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 415
Agent DT2 issued deposit	 of $533.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 427
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 433
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 443
Agent WT3 issued withdrawal	 of $92.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 444
Agent DT2 issued deposit	 of $466.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 446
Agent WT2 issued withdrawal	 of $96.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 447
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 448
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 450
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 465
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:37:10 EDT	Transaction Number : 483
Agent DT5 issued deposit	 of $484.00	at:09/15/2024 23:37:11 EDT	Transaction Number : 498
Agent DT2 issued deposit	 of $481.00	at:09/15/2024 23:37:11 EDT	Transaction Number : 501
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:37:11 EDT	Transaction Number : 508
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:37:11 EDT	Transaction Number : 515
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:37:11 EDT	Transaction Number : 533
Agent DT2 issued deposit	 of $595.00	at:09/15/2024 23:37:12 EDT	Transaction Number : 551
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:37:12 EDT	Transaction Number : 555
Agent DT3 issued deposit	 of $487.00	at:09/15/2024 23:37:12 EDT	Transaction Number : 572
Agent DT1 issued deposit	 of $453.00	at:09/15/2024 23:37:12 EDT	Transaction Number : 573
Agent DT3 issued deposit	 of $525.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 575
Agent WT5 issued withdrawal	 of $94.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 578
Agent DT1 issued deposit	 of $599.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 583
Agent DT4 issued deposit	 of $573.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 585
Agent WT8 issued withdrawal	 of $92.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 588
Agent WT2 issued withdrawal	 of $94.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 597
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 610
Agent DT1 issued deposit	 of $592.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 633
Agent DT1 issued deposit	 of $598.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 640
Agent WT4 issued withdrawal	 of $95.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 650
Agent WT5 issued withdrawal	 of $97.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 653
Agent WT4 issued withdrawal	 of $90.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 673
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 676
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:37:13 EDT	Transaction Number : 677
Agent DT3 issued deposit	 of $497.00	at:09/15/2024 23:37:14 EDT	Transaction Number : 687
Agent WT8 issued withdrawal	 of $90.00	at:09/15/2024 23:37:14 EDT	Transaction Number : 691
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:37:14 EDT	Transaction Number : 697
Agent WT9 issued withdrawal	 of $94.00	at:09/15/2024 23:37:14 EDT	Transaction Number : 723
Agent DT5 issued deposit	 of $491.00	at:09/15/2024 23:37:14 EDT	Transaction Number : 728
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:37:14 EDT	Transaction Number : 772
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:37:14 EDT	Transaction Number : 777
Agent WT3 issued withdrawal	 of $98.00	at:09/15/2024 23:37:14 EDT	Transaction Number : 786
Agent DT5 issued deposit	 of $486.00	at:09/15/2024 23:37:15 EDT	Transaction Number : 792
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:37:15 EDT	Transaction Number : 805
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:37:15 EDT	Transaction Number : 811
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:37:15 EDT	Transaction Number : 815
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:37:15 EDT	Transaction Number : 825
Agent DT4 issued deposit	 of $495.00	at:09/15/2024 23:37:16 EDT	Transaction Number : 841
Agent DT5 issued deposit	 of $490.00	at:09/15/2024 23:37:16 EDT	Transaction Number : 842
Agent DT3 issued deposit	 of $512.00	at:09/15/2024 23:37:16 EDT	Transaction Number : 844
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:37:16 EDT	Transaction Number : 846
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:37:16 EDT	Transaction Number : 864
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:37:16 EDT	Transaction Number : 888
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:37:16 EDT	Transaction Number : 890
Agent DT3 issued deposit	 of $558.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 922
Agent DT2 issued deposit	 of $543.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 938
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 948
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 952
Agent DT3 issued deposit	 of $558.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 976
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 981
Agent WT6 issued withdrawal	 of $90.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 990
Agent DT3 issued deposit	 of $467.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 1012
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 1013
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 1026
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 1035
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:37:17 EDT	Transaction Number : 1041
Agent WT6 issued withdrawal	 of $98.00	at:09/15/2024 23:37:18 EDT	Transaction Number : 1044
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:37:18 EDT	Transaction Number : 1067
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:37:18 EDT	Transaction Number : 1071
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:37:18 EDT	Transaction Number : 1078
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:37:18 EDT	Transaction Number : 1082
Agent DT1 issued deposit	 of $561.00	at:09/15/2024 23:37:18 EDT	Transaction Number : 1084
Agent DT4 issued deposit	 of $519.00	at:09/15/2024 23:37:19 EDT	Transaction Number : 1093
Agent WT7 issued withdrawal	 of $92.00	at:09/15/2024 23:37:19 EDT	Transaction Number : 1100
Agent DT1 issued deposit	 of $594.00	at:09/15/2024 23:37:19 EDT	Transaction Number : 1110
Agent DT2 issued deposit	 of $599.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1120
Agent WT10 issued withdrawal	 of $97.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1128
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1136
Agent DT3 issued deposit	 of $556.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1140
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1142
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1145
Agent WT3 issued withdrawal	 of $98.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1152
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1158
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1160
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1170
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1191
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1207
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1210
Agent WT8 issued withdrawal	 of $92.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1218
Agent WT7 issued withdrawal	 of $98.00	at:09/15/2024 23:37:20 EDT	Transaction Number : 1221
Agent DT4 issued deposit	 of $581.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1235
Agent DT1 issued deposit	 of $559.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1242
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1245
Agent DT5 issued deposit	 of $531.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1261
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1273
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1292
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1293
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1301
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1302
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1306
Agent WT1 issued withdrawal	 of $94.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1309
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:37:21 EDT	Transaction Number : 1313
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:37:22 EDT	Transaction Number : 1339
Agent WT4 issued withdrawal	 of $90.00	at:09/15/2024 23:37:22 EDT	Transaction Number : 1340
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:37:22 EDT	Transaction Number : 1348
Agent DT5 issued deposit	 of $498.00	at:09/15/2024 23:37:22 EDT	Transaction Number : 1372
Agent WT6 issued withdrawal	 of $98.00	at:09/15/2024 23:37:22 EDT	Transaction Number : 1376
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:37:22 EDT	Transaction Number : 1392
Agent WT10 issued withdrawal	 of $97.00	at:09/15/2024 23:37:23 EDT	Transaction Number : 1395
Agent DT2 issued deposit	 of $452.00	at:09/15/2024 23:37:23 EDT	Transaction Number : 1400
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:37:24 EDT	Transaction Number : 1406
Agent DT4 issued deposit	 of $553.00	at:09/15/2024 23:37:24 EDT	Transaction Number : 1408
Agent WT3 issued withdrawal	 of $97.00	at:09/15/2024 23:37:24 EDT	Transaction Number : 1410
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:37:24 EDT	Transaction Number : 1412
Agent WT8 issued withdrawal	 of $92.00	at:09/15/2024 23:37:24 EDT	Transaction Number : 1418
Agent DT1 issued deposit	 of $501.00	at:09/15/2024 23:37:24 EDT	Transaction Number : 1420
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:37:24 EDT	Transaction Number : 1429
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:37:24 EDT	Transaction Number : 1439
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:37:24 EDT	Transaction Number : 1446
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:37:24 EDT	Transaction Number : 1464
Agent DT1 issued deposit	 of $489.00	at:09/15/2024 23:37:25 EDT	Transaction Number : 1484
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:37:25 EDT	Transaction Number : 1489
Agent DT3 issued deposit	 of $565.00	at:09/15/2024 23:37:25 EDT	Transaction Number : 1502
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:37:25 EDT	Transaction Number : 1518
Agent DT2 issued deposit	 of $503.00	at:09/15/2024 23:37:25 EDT	Transaction Number : 1535
Agent DT2 issued deposit	 of $572.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1557
Agent DT5 issued deposit	 of $591.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1558
Agent WT3 issued withdrawal	 of $98.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1562
Agent WT6 issued withdrawal	 of $90.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1578
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1589
Agent WT6 issued withdrawal	 of $90.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1603
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1610
Agent DT1 issued deposit	 of $547.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1611
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1614
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1621
Agent WT4 issued withdrawal	 of $95.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1629
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1631
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1632
Agent WT9 issued withdrawal	 of $94.00	at:09/15/2024 23:37:26 EDT	Transaction Number : 1636
Agent DT5 issued deposit	 of $491.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1652
Agent WT7 issued withdrawal	 of $93.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1653
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1654
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1656
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1676
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1685
Agent WT7 issued withdrawal	 of $98.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1690
Agent DT3 issued deposit	 of $519.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1703
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1708
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1721
Agent DT1 issued deposit	 of $474.00	at:09/15/2024 23:37:27 EDT	Transaction Number : 1726
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1745
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1751
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1752
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1755
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1764
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1766
Agent WT1 issued withdrawal	 of $96.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1768
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1770
Agent WT8 issued withdrawal	 of $94.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1771
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1773
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1775
Agent DT2 issued deposit	 of $472.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1780
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:37:28 EDT	Transaction Number : 1788
Agent DT4 issued deposit	 of $494.00	at:09/15/2024 23:37:29 EDT	Transaction Number : 1808
Agent WT4 issued withdrawal	 of $95.00	at:09/15/2024 23:37:29 EDT	Transaction Number : 1815
Agent WT1 issued withdrawal	 of $96.00	at:09/15/2024 23:37:29 EDT	Transaction Number : 1818
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:37:29 EDT	Transaction Number : 1862
Agent DT4 issued deposit	 of $583.00	at:09/15/2024 23:37:29 EDT	Transaction Number : 1863
Agent WT1 issued withdrawal	 of $93.00	at:09/15/2024 23:37:30 EDT	Transaction Number : 1882
Agent DT1 issued deposit	 of $493.00	at:09/15/2024 23:37:30 EDT	Transaction Number : 1885
Agent DT2 issued deposit	 of $473.00	at:09/15/2024 23:37:30 EDT	Transaction Number : 1898
Agent WT4 issued withdrawal	 of $97.00	at:09/15/2024 23:37:30 EDT	Transaction Number : 1911
Agent WT1 issued withdrawal	 of $97.00	at:09/15/2024 23:37:30 EDT	Transaction Number : 1915
Agent DT5 issued deposit	 of $542.00	at:09/15/2024 23:37:30 EDT	Transaction Number : 1928
Agent DT3 issued deposit	 of $499.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1936
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1948
Agent DT5 issued deposit	 of $483.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1949
Agent WT7 issued withdrawal	 of $90.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1950
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1956
